state,school_year,sy_end,page_url,file_url_or_steps,file_format,statewide_file,district_level,black_rows,hispanic_rows,white_rows,subgroup_evidence,proficiency_label,proficient_levels,suppression,hs_test_math,hs_test_rla,hs_grade,test_replacement_2022_2025,replacement_source,usable,notes
PA,2021-22,2022,https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting,"https://www.pa.gov/content/dam/copapwp-pagov/en/education/documents/data-and-reporting/keystones/2022%20keystone%20district%20data.xlsx (908,022 bytes)",XLSX,yes,yes (district-level file; state and school files also posted),probable,probable,probable,"Not seen. District files are 0.91-1.25 MB against 14-15 KB for the state file (HEAD), consistent with student-group rows for about 500 districts; a district equity dashboard (wsdweb.org) reports PDE Keystone grade 11 results for Asian, Black, Hispanic, Multi-Racial and White students. File not opened",Advanced / Proficient / Basic / Below Basic,Advanced + Proficient,Not documented on the assessment reporting page; not seen in a file,Keystone Algebra I,Keystone Literature,11 (page: 'All results displayed are for Grade 11 students'; Keystone results are reported by the end of grade 11),none found,"https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting ('The Keystone Exams are end-of-course assessments designed to assess proficiency in the subject areas of Algebra I, Literature, Biology')",probable (open one district file to confirm race rows),The page labels files by spring year (2022 = 2021-22). Keystone Biology is in the same files.
PA,2022-23,2023,https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting,"https://www.pa.gov/content/dam/copapwp-pagov/en/education/documents/data-and-reporting/keystones/2023%20keystone%20district%20level%20data.xlsx (920,290 bytes)",XLSX,yes,yes (district-level file; state and school files also posted),probable,probable,probable,"Not seen. District files are 0.91-1.25 MB against 14-15 KB for the state file (HEAD), consistent with student-group rows for about 500 districts; a district equity dashboard (wsdweb.org) reports PDE Keystone grade 11 results for Asian, Black, Hispanic, Multi-Racial and White students. File not opened",Advanced / Proficient / Basic / Below Basic,Advanced + Proficient,Not documented on the assessment reporting page; not seen in a file,Keystone Algebra I,Keystone Literature,11 (page: 'All results displayed are for Grade 11 students'; Keystone results are reported by the end of grade 11),none found,"https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting ('The Keystone Exams are end-of-course assessments designed to assess proficiency in the subject areas of Algebra I, Literature, Biology')",probable (open one district file to confirm race rows),The page labels files by spring year (2022 = 2021-22). Keystone Biology is in the same files.
PA,2023-24,2024,https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting,"https://www.pa.gov/content/dam/copapwp-pagov/en/education/documents/data-and-reporting/keystones/2024-keystone-exams-district-grade-11-data.xlsx (1,248,461 bytes)",XLSX,yes,yes (district-level file; state and school files also posted),probable,probable,probable,"Not seen. District files are 0.91-1.25 MB against 14-15 KB for the state file (HEAD), consistent with student-group rows for about 500 districts; a district equity dashboard (wsdweb.org) reports PDE Keystone grade 11 results for Asian, Black, Hispanic, Multi-Racial and White students. File not opened",Advanced / Proficient / Basic / Below Basic,Advanced + Proficient,Not documented on the assessment reporting page; not seen in a file,Keystone Algebra I,Keystone Literature,11 (page: 'All results displayed are for Grade 11 students'; Keystone results are reported by the end of grade 11),none found,"https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting ('The Keystone Exams are end-of-course assessments designed to assess proficiency in the subject areas of Algebra I, Literature, Biology')",probable (open one district file to confirm race rows),The page labels files by spring year (2022 = 2021-22). Keystone Biology is in the same files.
PA,2024-25,2025,https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting,"https://www.pa.gov/content/dam/copapwp-pagov/en/education/documents/data-and-reporting/keystones/2025-keystone-exams-district-level-data.xlsx (999,563 bytes)",XLSX,yes,yes (district-level file; state and school files also posted),probable,probable,probable,"Not seen. District files are 0.91-1.25 MB against 14-15 KB for the state file (HEAD), consistent with student-group rows for about 500 districts; a district equity dashboard (wsdweb.org) reports PDE Keystone grade 11 results for Asian, Black, Hispanic, Multi-Racial and White students. File not opened",Advanced / Proficient / Basic / Below Basic,Advanced + Proficient,Not documented on the assessment reporting page; not seen in a file,Keystone Algebra I,Keystone Literature,11 (page: 'All results displayed are for Grade 11 students'; Keystone results are reported by the end of grade 11),none found,"https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting ('The Keystone Exams are end-of-course assessments designed to assess proficiency in the subject areas of Algebra I, Literature, Biology')",probable (open one district file to confirm race rows),The page labels files by spring year (2022 = 2021-22). Keystone Biology is in the same files.
RI,2021-22,2022,https://www3.ride.ri.gov/ADP,"No pre-built statewide file. Assessment Data Portal > Subject 'SAT - Mathematics' (and 'SAT - English Language Arts/Literacy') > School Year 2021-22 > District 'Statewide' > Compare Results: By Student Group 'Race/Ethnicity', With Other Districts (multi-select all districts) > Export (spreadsheet)",spreadsheet export from the portal,no (one export can hold every district),yes,yes (seen),yes (seen),yes (seen),"Seen in the portal 2026-09-15: SAT Mathematics rows '<year> : Providence : All Schools : All Grades : Black or African American / Hispanic or Latino / White' for 2021-22 through 2024-25, with students tested, % tested, level percentages, Meeting or Exceeding Expectations and average scale score. Race list: American Indian or Alaska Native, Asian, Black or African American, Hispanic or Latino, Native Hawaiian or Other Pacific Islander, Two or More Races, White. Export not run",1-Not Meeting / 2-Partially Meeting / 3-Meeting / 4-Exceeding Expectations,Level 3 + Level 4 ('Meeting or Exceeding Expectations' column),Portal footnotes: '*' minimum reporting size (10 students) not met; '**' greater than 95% did not meet expectations; '***' greater than 95% met or exceeded; flags for % tested below 85% and large year-over-year changes in test takers,SAT School Day Math (portal: 'SAT - Mathematics'),SAT School Day Reading and Writing (portal: 'SAT - English Language Arts/Literacy'),11 (portal grade filter: 11),none found,https://www3.ride.ri.gov/ADP (SAT page note) ; https://ride.ri.gov/instruction-assessment/assessment/assessment-results,yes via portal export (one export per subject-year),PSAT 10 (grade 10) is also in the portal. The portal also offers school-level comparisons.
RI,2022-23,2023,https://www3.ride.ri.gov/ADP,"No pre-built statewide file. Assessment Data Portal > Subject 'SAT - Mathematics' (and 'SAT - English Language Arts/Literacy') > School Year 2022-23 > District 'Statewide' > Compare Results: By Student Group 'Race/Ethnicity', With Other Districts (multi-select all districts) > Export (spreadsheet)",spreadsheet export from the portal,no (one export can hold every district),yes,yes (seen),yes (seen),yes (seen),"Seen in the portal 2026-09-15: SAT Mathematics rows '<year> : Providence : All Schools : All Grades : Black or African American / Hispanic or Latino / White' for 2021-22 through 2024-25, with students tested, % tested, level percentages, Meeting or Exceeding Expectations and average scale score. Race list: American Indian or Alaska Native, Asian, Black or African American, Hispanic or Latino, Native Hawaiian or Other Pacific Islander, Two or More Races, White. Export not run",1-Not Meeting / 2-Partially Meeting / 3-Meeting / 4-Exceeding Expectations,Level 3 + Level 4 ('Meeting or Exceeding Expectations' column),Portal footnotes: '*' minimum reporting size (10 students) not met; '**' greater than 95% did not meet expectations; '***' greater than 95% met or exceeded; flags for % tested below 85% and large year-over-year changes in test takers,SAT School Day Math (portal: 'SAT - Mathematics'),SAT School Day Reading and Writing (portal: 'SAT - English Language Arts/Literacy'),11 (portal grade filter: 11),none found,https://www3.ride.ri.gov/ADP (SAT page note) ; https://ride.ri.gov/instruction-assessment/assessment/assessment-results,yes via portal export (one export per subject-year),PSAT 10 (grade 10) is also in the portal. The portal also offers school-level comparisons.
RI,2023-24,2024,https://www3.ride.ri.gov/ADP,"No pre-built statewide file. Assessment Data Portal > Subject 'SAT - Mathematics' (and 'SAT - English Language Arts/Literacy') > School Year 2023-24 > District 'Statewide' > Compare Results: By Student Group 'Race/Ethnicity', With Other Districts (multi-select all districts) > Export (spreadsheet)",spreadsheet export from the portal,no (one export can hold every district),yes,yes (seen),yes (seen),yes (seen),"Seen in the portal 2026-09-15: SAT Mathematics rows '<year> : Providence : All Schools : All Grades : Black or African American / Hispanic or Latino / White' for 2021-22 through 2024-25, with students tested, % tested, level percentages, Meeting or Exceeding Expectations and average scale score. Race list: American Indian or Alaska Native, Asian, Black or African American, Hispanic or Latino, Native Hawaiian or Other Pacific Islander, Two or More Races, White. Export not run",1-Not Meeting / 2-Partially Meeting / 3-Meeting / 4-Exceeding Expectations,Level 3 + Level 4 ('Meeting or Exceeding Expectations' column),Portal footnotes: '*' minimum reporting size (10 students) not met; '**' greater than 95% did not meet expectations; '***' greater than 95% met or exceeded; flags for % tested below 85% and large year-over-year changes in test takers,SAT School Day Math (portal: 'SAT - Mathematics'),SAT School Day Reading and Writing (portal: 'SAT - English Language Arts/Literacy'),11 (portal grade filter: 11),"2024: SAT and PSAT test design changed (digital SAT); portal note 'Due to changes in the test design of the PSAT and SAT in 2023-24, comparisons to previous scores should be interpreted with caution'",https://www3.ride.ri.gov/ADP (SAT page note) ; https://ride.ri.gov/instruction-assessment/assessment/assessment-results,yes via portal export (one export per subject-year),PSAT 10 (grade 10) is also in the portal. The portal also offers school-level comparisons.
RI,2024-25,2025,https://www3.ride.ri.gov/ADP,"No pre-built statewide file. Assessment Data Portal > Subject 'SAT - Mathematics' (and 'SAT - English Language Arts/Literacy') > School Year 2024-25 > District 'Statewide' > Compare Results: By Student Group 'Race/Ethnicity', With Other Districts (multi-select all districts) > Export (spreadsheet)",spreadsheet export from the portal,no (one export can hold every district),yes,yes (seen),yes (seen),yes (seen),"Seen in the portal 2026-09-15: SAT Mathematics rows '<year> : Providence : All Schools : All Grades : Black or African American / Hispanic or Latino / White' for 2021-22 through 2024-25, with students tested, % tested, level percentages, Meeting or Exceeding Expectations and average scale score. Race list: American Indian or Alaska Native, Asian, Black or African American, Hispanic or Latino, Native Hawaiian or Other Pacific Islander, Two or More Races, White. Export not run",1-Not Meeting / 2-Partially Meeting / 3-Meeting / 4-Exceeding Expectations,Level 3 + Level 4 ('Meeting or Exceeding Expectations' column),Portal footnotes: '*' minimum reporting size (10 students) not met; '**' greater than 95% did not meet expectations; '***' greater than 95% met or exceeded; flags for % tested below 85% and large year-over-year changes in test takers,SAT School Day Math (portal: 'SAT - Mathematics'),SAT School Day Reading and Writing (portal: 'SAT - English Language Arts/Literacy'),11 (portal grade filter: 11),none found (second year of the 2023-24 SAT design),https://www3.ride.ri.gov/ADP (SAT page note) ; https://ride.ri.gov/instruction-assessment/assessment/assessment-results,yes via portal export (one export per subject-year),PSAT 10 (grade 10) is also in the portal. The portal also offers school-level comparisons.
SC,2021-22,2022,https://ed.sc.gov/data/test-scores/state-assessments/end-of-course-examination-program-eocep/,"https://ed.sc.gov/data/test-scores/state-assessments/end-of-course-examination-program-eocep/eocep-data-files/2022-eocep-data-file/ (served as 'EOCEP2021-22-WEBFILE 922.xlsx', 2,079,648 bytes)",XLSX,yes,"expected (web reports give district rows, schoolCode=999)",file unverified; yes in web reports,file unverified; yes in web reports,file unverified; yes in web reports,"District web report 'EOCEP Demographic Scores' (Charleston 1001, 2025: https://ed.sc.gov/data/test-scores/state-assessments/end-of-course-examination-program-eocep/2025//eocep-demographic-scores/?districtCode=1001&schoolCode=999) lists Hispanic or Latino, American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, White, Two or more races with Number Tested, % F/D/C/B/A, mean and SD for Algebra, Biology, English 2 and U.S. History. Workbook columns not seen; data file not opened",Letter grades A (90-100) / B (80-89) / C (70-79) / D (60-69) / F (0-59),"A + B + C ('passing rate (A-C)', SCDE 2024 release)","Web reports: 'If the number tested is less than 20, no other statistics appear.' File suppression not seen",EOCEP Algebra 1,EOCEP English 2,course-based (any grade; middle school students taking the course for high school credit included),none found (2025 SC College- and Career-Ready Mathematics Standards assessed from 2025-26),https://ed.sc.gov/instruction/standards/mathematics/standards/ ; https://ed.sc.gov/newsroom/news-releases/scde-releases-2024-end-of-course-and-career-readiness-assessment-results,probable (confirm district x race rows in the workbook; web reports confirm them district by district),Web reports note that summer scores are not yet included. The data file URLs serve the workbook directly (inline). EOCEP scores count 20% of the course grade.
SC,2022-23,2023,https://ed.sc.gov/data/test-scores/state-assessments/end-of-course-examination-program-eocep/,"https://ed.sc.gov/data/test-scores/state-assessments/end-of-course-examination-program-eocep/eocep-data-files/2023-eocep-data-file/ (served as 'EOCEP2022-23-WEBFILE 923.xlsx', 2,107,569 bytes)",XLSX,yes,"expected (web reports give district rows, schoolCode=999)",file unverified; yes in web reports,file unverified; yes in web reports,file unverified; yes in web reports,"District web report 'EOCEP Demographic Scores' (Charleston 1001, 2025: https://ed.sc.gov/data/test-scores/state-assessments/end-of-course-examination-program-eocep/2025//eocep-demographic-scores/?districtCode=1001&schoolCode=999) lists Hispanic or Latino, American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, White, Two or more races with Number Tested, % F/D/C/B/A, mean and SD for Algebra, Biology, English 2 and U.S. History. Workbook columns not seen; data file not opened",Letter grades A (90-100) / B (80-89) / C (70-79) / D (60-69) / F (0-59),"A + B + C ('passing rate (A-C)', SCDE 2024 release)","Web reports: 'If the number tested is less than 20, no other statistics appear.' File suppression not seen",EOCEP Algebra 1,EOCEP English 2,course-based (any grade; middle school students taking the course for high school credit included),none found (2025 SC College- and Career-Ready Mathematics Standards assessed from 2025-26),https://ed.sc.gov/instruction/standards/mathematics/standards/ ; https://ed.sc.gov/newsroom/news-releases/scde-releases-2024-end-of-course-and-career-readiness-assessment-results,probable (confirm district x race rows in the workbook; web reports confirm them district by district),Web reports note that summer scores are not yet included. The data file URLs serve the workbook directly (inline). EOCEP scores count 20% of the course grade.
