state,school_year,sy_end,page_url,file_url_or_steps,file_format,statewide_file,district_level,black_rows,hispanic_rows,white_rows,subgroup_evidence,proficiency_label,proficient_levels,suppression,hs_test_math,hs_test_rla,hs_grade,test_replacement_2022_2025,replacement_source,usable,notes
IL,2021-22,2022,https://www.isbe.net/ilreportcarddata,https://www.isbe.net/_layouts/Download.aspx?SourceUrl=/Documents/2022-Report-Card-Public-Data-Set.xlsx (updated 01/19/2023),XLSX (semicolon-delimited fields per ISBE page),yes,"yes (school, district and state records)",expected,expected,expected,"ISBE Public Business Rules 2023 Report Card Metrics, 'Proficiency Rate ELA and Math - SAT': demographics (race, gender, program indicators) 'disaggregated at the entity (school, district, and state) and at the grade level'; 'Each subgroup is calculated the same way'. Which data-set columns carry HS-test-by-race rates was not seen (file not opened)",SAT: Level 1 Partially meets / 2 Approaching / 3 Meets / 4 Exceeds standards; ACT (2025 glossary): Below Proficient / Approaching / Proficient / Above Proficient,Level 3 + Level 4,"District and school metrics not displayed when the count is <= 9 (business rules, 'Data Redaction'); no redaction at state level",SAT School Day (SAT with Essay) Math,SAT School Day (SAT with Essay) Reading and Writing,11,none (SAT with Essay the HS test since spring 2017),https://www.isbe.net/Documents/Public-Business-Rules-2023-Report-Card-Metrics.pdf ; https://www.isbe.net/Documents/2025-Report-Card-Glossary-of-Terms.pdf ('Illinois uses the ACT with Writing as the regular state assessment for high school accountability'); https://www.isbe.net/Documents/ACT-FAQ.pdf ; https://chicago.suntimes.com/education/2024/07/06/sat-act-illinois-high-school-assessment-isbe,probable (HS proficiency by race at district level to confirm in the data set's columns),One workbook per report-card year holds all metrics. Proficiency columns may pool IAR/SAT/DLM-AA across grades ('ELA Proficiency'); the HS-test-specific subgroup columns need to be identified. 2025 glossary still lists SAT levels in the ELA/math proficiency definitions next to the ACT text.
IL,2022-23,2023,https://www.isbe.net/ilreportcarddata,https://www.isbe.net/_layouts/Download.aspx?SourceUrl=/Documents/23-RC-Pub-Data-Set.xlsx (updated 05/15/2024),XLSX (semicolon-delimited fields per ISBE page),yes,"yes (school, district and state records)",expected,expected,expected,"ISBE Public Business Rules 2023 Report Card Metrics, 'Proficiency Rate ELA and Math - SAT': demographics (race, gender, program indicators) 'disaggregated at the entity (school, district, and state) and at the grade level'; 'Each subgroup is calculated the same way'. Which data-set columns carry HS-test-by-race rates was not seen (file not opened)",SAT: Level 1 Partially meets / 2 Approaching / 3 Meets / 4 Exceeds standards; ACT (2025 glossary): Below Proficient / Approaching / Proficient / Above Proficient,Level 3 + Level 4,"District and school metrics not displayed when the count is <= 9 (business rules, 'Data Redaction'); no redaction at state level",SAT School Day Math,SAT School Day Reading and Writing,11,none,https://www.isbe.net/Documents/Public-Business-Rules-2023-Report-Card-Metrics.pdf ; https://www.isbe.net/Documents/2025-Report-Card-Glossary-of-Terms.pdf ('Illinois uses the ACT with Writing as the regular state assessment for high school accountability'); https://www.isbe.net/Documents/ACT-FAQ.pdf ; https://chicago.suntimes.com/education/2024/07/06/sat-act-illinois-high-school-assessment-isbe,probable (HS proficiency by race at district level to confirm in the data set's columns),One workbook per report-card year holds all metrics. Proficiency columns may pool IAR/SAT/DLM-AA across grades ('ELA Proficiency'); the HS-test-specific subgroup columns need to be identified. 2025 glossary still lists SAT levels in the ELA/math proficiency definitions next to the ACT text.
IL,2023-24,2024,https://www.isbe.net/ilreportcarddata,https://www.isbe.net/_layouts/Download.aspx?SourceUrl=/Documents/24-RC-Pub-Data-Set.xlsx (updated 05/30/2025),XLSX (semicolon-delimited fields per ISBE page),yes,"yes (school, district and state records)",expected,expected,expected,"ISBE Public Business Rules 2023 Report Card Metrics, 'Proficiency Rate ELA and Math - SAT': demographics (race, gender, program indicators) 'disaggregated at the entity (school, district, and state) and at the grade level'; 'Each subgroup is calculated the same way'. Which data-set columns carry HS-test-by-race rates was not seen (file not opened)",SAT: Level 1 Partially meets / 2 Approaching / 3 Meets / 4 Exceeds standards; ACT (2025 glossary): Below Proficient / Approaching / Proficient / Above Proficient,Level 3 + Level 4,"District and school metrics not displayed when the count is <= 9 (business rules, 'Data Redaction'); no redaction at state level",SAT School Day Math (digital SAT),SAT School Day Reading and Writing (digital SAT),11,2024: College Board moved the SAT to the digital adaptive format (not confirmed on an ISBE page),https://www.isbe.net/Documents/Public-Business-Rules-2023-Report-Card-Metrics.pdf ; https://www.isbe.net/Documents/2025-Report-Card-Glossary-of-Terms.pdf ('Illinois uses the ACT with Writing as the regular state assessment for high school accountability'); https://www.isbe.net/Documents/ACT-FAQ.pdf ; https://chicago.suntimes.com/education/2024/07/06/sat-act-illinois-high-school-assessment-isbe,probable (HS proficiency by race at district level to confirm in the data set's columns),One workbook per report-card year holds all metrics. Proficiency columns may pool IAR/SAT/DLM-AA across grades ('ELA Proficiency'); the HS-test-specific subgroup columns need to be identified. 2025 glossary still lists SAT levels in the ELA/math proficiency definitions next to the ACT text.
IL,2024-25,2025,https://www.isbe.net/ilreportcarddata,https://www.isbe.net/_layouts/Download.aspx?SourceUrl=/Documents/2025-Report-Card-Public-Data-Set.xlsx (updated 05/14/2026),XLSX (semicolon-delimited fields per ISBE page),yes,"yes (school, district and state records)",expected,expected,expected,"ISBE Public Business Rules 2023 Report Card Metrics, 'Proficiency Rate ELA and Math - SAT': demographics (race, gender, program indicators) 'disaggregated at the entity (school, district, and state) and at the grade level'; 'Each subgroup is calculated the same way'. Which data-set columns carry HS-test-by-race rates was not seen (file not opened)",SAT: Level 1 Partially meets / 2 Approaching / 3 Meets / 4 Exceeds standards; ACT (2025 glossary): Below Proficient / Approaching / Proficient / Above Proficient,Level 3 + Level 4,"District and school metrics not displayed when the count is <= 9 (business rules, 'Data Redaction'); no redaction at state level",ACT with Writing Math,ACT with Writing English/Reading (ELA),11,2025: ACT replaced the SAT as the grade 11 state assessment (ISBE six-year ACT contract; ACT also replaces the separate grade 11 ISA science test),https://www.isbe.net/Documents/Public-Business-Rules-2023-Report-Card-Metrics.pdf ; https://www.isbe.net/Documents/2025-Report-Card-Glossary-of-Terms.pdf ('Illinois uses the ACT with Writing as the regular state assessment for high school accountability'); https://www.isbe.net/Documents/ACT-FAQ.pdf ; https://chicago.suntimes.com/education/2024/07/06/sat-act-illinois-high-school-assessment-isbe,probable (HS proficiency by race at district level to confirm in the data set's columns),One workbook per report-card year holds all metrics. Proficiency columns may pool IAR/SAT/DLM-AA across grades ('ELA Proficiency'); the HS-test-specific subgroup columns need to be identified. 2025 glossary still lists SAT levels in the ELA/math proficiency definitions next to the ACT text.
IN,2021-22,2022,https://www.in.gov/doe/it/data-center-and-reports/ (current year) ; https://www.in.gov/doe/it/data-center-and-reports/data-reports-archive/ (earlier years),"https://www.in.gov/doe/files/SAT-2022-Grade11-Final-Corporation-v2.xlsx (565,368 bytes; listed on the current Data Center page)",XLSX,yes,yes (corporation file; school and statewide files also posted),unverified,unverified,unverified,"No SAT file is titled 'Disaggregated' (ILEARN and 2021 ISTEP+ grade 10 have separate 'Ethnicity and Gender Disaggregated' files). Corporation files are 565-582 KB against 24 KB for the statewide summary and 358 KB for the 2021 ISTEP+ grade 10 corporation disaggregated file, which suggests more than one all-students row per corporation; not opened",Level 1 Below College-Ready / Level 2 Approaching College-Ready / Level 3 At College-Ready Benchmark,"Level 3 (At College-Ready Benchmark: Math >= 530, Reading & Writing >= 480)",IDOE suppresses student performance data for any group of fewer than 10 students (STATS Indiana description of IDOE data); file-level symbols not seen,SAT School Day Math,SAT School Day Reading and Writing,11 (junior cohort),2022: SAT (grade 11) replaced ISTEP+ grade 10 as the HS accountability test; last ISTEP+ grade 10 files are 2021,https://www.in.gov/doe/students/assessment/high-school-assessment/ ; https://www.in.gov/doe/files/sat-indianas-accountability-assessment.pdf (SAT replaced ISTEP+ grade 10) ; https://content.govdelivery.com/attachments/INDOE/2023/08/15/file_attachments/2585167/2023%20Indiana%20SAT%20Proficiency%20Levels.pdf (cut scores; spring 2022 and 2023 results) ; https://indianacapitalchronicle.com/2024/07/19/indiana-sat-scores-continue-downward-trend-latest-test-results-show/,probable (race rows to confirm in one corporation file),"Suppression source: https://www.stats.indiana.edu/about/education.asp. The current page also lists 'SAT Results - Corporation and School' (college-entrance SAT, not the state administration). A '2026 SAT Grade 11' series is posted for spring 2026."
IN,2022-23,2023,https://www.in.gov/doe/it/data-center-and-reports/ (current year) ; https://www.in.gov/doe/it/data-center-and-reports/data-reports-archive/ (earlier years),"https://www.in.gov/doe/files/SAT-2023-Grade11-Final-Corporation.xlsx (571,801 bytes; archive page)",XLSX,yes,yes (corporation file; school and statewide files also posted),unverified,unverified,unverified,"No SAT file is titled 'Disaggregated' (ILEARN and 2021 ISTEP+ grade 10 have separate 'Ethnicity and Gender Disaggregated' files). Corporation files are 565-582 KB against 24 KB for the statewide summary and 358 KB for the 2021 ISTEP+ grade 10 corporation disaggregated file, which suggests more than one all-students row per corporation; not opened",Level 1 Below College-Ready / Level 2 Approaching College-Ready / Level 3 At College-Ready Benchmark,"Level 3 (At College-Ready Benchmark: Math >= 530, Reading & Writing >= 480)",IDOE suppresses student performance data for any group of fewer than 10 students (STATS Indiana description of IDOE data); file-level symbols not seen,SAT School Day Math,SAT School Day Reading and Writing,11 (junior cohort),none,https://www.in.gov/doe/students/assessment/high-school-assessment/ ; https://www.in.gov/doe/files/sat-indianas-accountability-assessment.pdf (SAT replaced ISTEP+ grade 10) ; https://content.govdelivery.com/attachments/INDOE/2023/08/15/file_attachments/2585167/2023%20Indiana%20SAT%20Proficiency%20Levels.pdf (cut scores; spring 2022 and 2023 results) ; https://indianacapitalchronicle.com/2024/07/19/indiana-sat-scores-continue-downward-trend-latest-test-results-show/,probable (race rows to confirm in one corporation file),"Suppression source: https://www.stats.indiana.edu/about/education.asp. The current page also lists 'SAT Results - Corporation and School' (college-entrance SAT, not the state administration). A '2026 SAT Grade 11' series is posted for spring 2026."
IN,2023-24,2024,https://www.in.gov/doe/it/data-center-and-reports/ (current year) ; https://www.in.gov/doe/it/data-center-and-reports/data-reports-archive/ (earlier years),"https://www.in.gov/doe/files/SAT-2024-Grade11-Corporation.xlsx (571,327 bytes; archive page)",XLSX,yes,yes (corporation file; school and statewide files also posted),unverified,unverified,unverified,"No SAT file is titled 'Disaggregated' (ILEARN and 2021 ISTEP+ grade 10 have separate 'Ethnicity and Gender Disaggregated' files). Corporation files are 565-582 KB against 24 KB for the statewide summary and 358 KB for the 2021 ISTEP+ grade 10 corporation disaggregated file, which suggests more than one all-students row per corporation; not opened",Level 1 Below College-Ready / Level 2 Approaching College-Ready / Level 3 At College-Ready Benchmark,"Level 3 (At College-Ready Benchmark: Math >= 530, Reading & Writing >= 480)",IDOE suppresses student performance data for any group of fewer than 10 students (STATS Indiana description of IDOE data); file-level symbols not seen,SAT School Day Math,SAT School Day Reading and Writing,11 (junior cohort),2024: SAT redesigned by College Board as an adaptive digital test (IDOE attributed part of the score drop to 'assessment shifts'),https://www.in.gov/doe/students/assessment/high-school-assessment/ ; https://www.in.gov/doe/files/sat-indianas-accountability-assessment.pdf (SAT replaced ISTEP+ grade 10) ; https://content.govdelivery.com/attachments/INDOE/2023/08/15/file_attachments/2585167/2023%20Indiana%20SAT%20Proficiency%20Levels.pdf (cut scores; spring 2022 and 2023 results) ; https://indianacapitalchronicle.com/2024/07/19/indiana-sat-scores-continue-downward-trend-latest-test-results-show/,probable (race rows to confirm in one corporation file),"Suppression source: https://www.stats.indiana.edu/about/education.asp. The current page also lists 'SAT Results - Corporation and School' (college-entrance SAT, not the state administration). A '2026 SAT Grade 11' series is posted for spring 2026."
IN,2024-25,2025,https://www.in.gov/doe/it/data-center-and-reports/ (current year) ; https://www.in.gov/doe/it/data-center-and-reports/data-reports-archive/ (earlier years),"https://www.in.gov/doe/files/SAT-2025-Grade11-Corporation_a.xlsx (582,427 bytes; archive page)",XLSX,yes,yes (corporation file; school and statewide files also posted),unverified,unverified,unverified,"No SAT file is titled 'Disaggregated' (ILEARN and 2021 ISTEP+ grade 10 have separate 'Ethnicity and Gender Disaggregated' files). Corporation files are 565-582 KB against 24 KB for the statewide summary and 358 KB for the 2021 ISTEP+ grade 10 corporation disaggregated file, which suggests more than one all-students row per corporation; not opened",Level 1 Below College-Ready / Level 2 Approaching College-Ready / Level 3 At College-Ready Benchmark,"Level 3 (At College-Ready Benchmark: Math >= 530, Reading & Writing >= 480)",IDOE suppresses student performance data for any group of fewer than 10 students (STATS Indiana description of IDOE data); file-level symbols not seen,SAT School Day Math,SAT School Day Reading and Writing,11 (junior cohort),none found (IDOE page lists new 'SAT School Day Performance Cut Scores' and a digital SAT School Day FAQ for spring 2026),https://www.in.gov/doe/students/assessment/high-school-assessment/ ; https://www.in.gov/doe/files/sat-indianas-accountability-assessment.pdf (SAT replaced ISTEP+ grade 10) ; https://content.govdelivery.com/attachments/INDOE/2023/08/15/file_attachments/2585167/2023%20Indiana%20SAT%20Proficiency%20Levels.pdf (cut scores; spring 2022 and 2023 results) ; https://indianacapitalchronicle.com/2024/07/19/indiana-sat-scores-continue-downward-trend-latest-test-results-show/,probable (race rows to confirm in one corporation file),"Suppression source: https://www.stats.indiana.edu/about/education.asp. The current page also lists 'SAT Results - Corporation and School' (college-entrance SAT, not the state administration). A '2026 SAT Grade 11' series is posted for spring 2026."
IA,2021-22,2022,https://educate.iowa.gov/pk-12/data/education-statistics,Proficiency by District 2021-22: https://educate.iowa.gov/media/5790/download?inline,XLSX,yes (all districts in one file),yes,unverified,unverified,unverified,"Page heading 'Assessments - Proficiency Rate' > 'Proficiency by District'; no description of contents. About 204 KB for about 329 districts is consistent with all-students rates by grade and subject; not opened. The Iowa School Performance Profiles 'Data Download' has student groups but is school-level only, pools grades 3-11, and omits cells under 20",ISASP: Not Yet Proficient / Proficient / Advanced,Proficient + Advanced,"Reporting minimum n = 10 (cells under 10 redacted); accountability minimum n = 20 (ISPP Technical Guide, Dec 2025)",ISASP Mathematics,ISASP English Language Arts,"9, 10, 11 (ISASP grades 3-11)",none (ISASP with three achievement levels 2019-2025; four new achievement levels and new cut points start with the 2026 assessment),https://www.iaschoolperformance.gov/ECP/Home/TechGuide ; https://educate.iowa.gov/press-release/2025-08-20/iowa-achieves-impressive-gains-early-literacy-science-new-2025-spring-statewide-student-assessment ; https://ia.mypearsonsupport.com/resources/reporting-resources/2025%20Interpretation%20Guide%20-%20ISASP%20Published%20Reports.pdf,unclear (open one Proficiency by District file to check for race rows),ISPP school-level 'School Learning Measures Data' (https://www.iaschoolperformance.gov/ECP/StateDistrictSchool/StateDetails?DetailType=Datadownload&y=2025) is a fallback for high-school buildings only. reports.educateiowa.gov (Condition of Education) could not be read by the browser tool.
IA,2022-23,2023,https://educate.iowa.gov/pk-12/data/education-statistics,Proficiency by District 2022-23: https://educate.iowa.gov/media/8748/download?inline (205.07 KB),XLSX,yes (all districts in one file),yes,unverified,unverified,unverified,"Page heading 'Assessments - Proficiency Rate' > 'Proficiency by District'; no description of contents. About 204 KB for about 329 districts is consistent with all-students rates by grade and subject; not opened. The Iowa School Performance Profiles 'Data Download' has student groups but is school-level only, pools grades 3-11, and omits cells under 20",ISASP: Not Yet Proficient / Proficient / Advanced,Proficient + Advanced,"Reporting minimum n = 10 (cells under 10 redacted); accountability minimum n = 20 (ISPP Technical Guide, Dec 2025)",ISASP Mathematics,ISASP English Language Arts,"9, 10, 11 (ISASP grades 3-11)",none (ISASP with three achievement levels 2019-2025; four new achievement levels and new cut points start with the 2026 assessment),https://www.iaschoolperformance.gov/ECP/Home/TechGuide ; https://educate.iowa.gov/press-release/2025-08-20/iowa-achieves-impressive-gains-early-literacy-science-new-2025-spring-statewide-student-assessment ; https://ia.mypearsonsupport.com/resources/reporting-resources/2025%20Interpretation%20Guide%20-%20ISASP%20Published%20Reports.pdf,unclear (open one Proficiency by District file to check for race rows),ISPP school-level 'School Learning Measures Data' (https://www.iaschoolperformance.gov/ECP/StateDistrictSchool/StateDetails?DetailType=Datadownload&y=2025) is a fallback for high-school buildings only. reports.educateiowa.gov (Condition of Education) could not be read by the browser tool.
